,JuridicalForm,quantity_of_companies
0,,40.98353881195219
1,015,19.133286677557788
2,610,9.156213840879477
3,017,7.533709155623488
4,014,5.315055289240764
5,070,5.045639652829509
6,030,3.3207355583558567
7,012,1.7762648044428895
8,721,1.351264321426808
9,011,1.258686239193857
10,612,0.9246001163532072
11,008,0.6701579784596295
12,235,0.6612490151838789
13,016,0.6255058251739395
14,003,0.4117980434628604
15,124,0.27285041743323113
16,006,0.24945097172101852
17,230,0.2149421561408518
18,125,0.1277309192547384
19,025,0.11570918567782185
20,026,0.10411679972865232
21,019,0.09118270244277334
22,020,0.08764058451386042
23,013,0.0869965630722399
24,999,0.05543951243283394
25,022,0.04572552235505761
26,706,0.03638721145155993
27,411,0.03128870837206407
28,412,0.03128870837206407
29,508,0.027907595803556288
30,029,0.023721456433022845
31,018,0.020179338504109932
32,129,0.0178715950049697
33,418,0.015456514598892714
34,065,0.015295509238487581
35,151,0.014329477076056786
36,060,0.013041434192815728
37,051,0.01255841811160033
38,453,0.010733690693675496
39,413,0.010358011519396854
40,160,0.009821326984713078
41,002,0.008586952554940396
42,420,0.006923230497420695
43,451,0.0068158935904839395
44,515,0.0045081500913437085
45,021,0.004239807824001821
46,454,0.003971465556659934
47,415,0.0038641286497231786
48,722,0.0033274441150394035
49,379,0.0032201072081026487
50,417,0.003005433394229139
51,114,0.002790759580355629
52,616,0.0025224173130137416
53,303,0.0024150804060769867
54,310,0.0022004065922034766
55,116,0.0020930696852667218
56,514,0.0020930696852667218
57,108,0.0018247274179248342
58,023,0.0017710589644564568
59,422,0.0017710589644564568
60,702,0.0016100536040513243
61,117,0.0014490482436461919
62,419,0.0014490482436461919
63,416,0.0013953797901778144
64,123,0.0012880428832410596
65,027,0.001234374429772682
66,414,0.0011270375228359271
67,452,0.001019700615899172
68,009,0.0009660321624307946
69,512,0.0009660321624307946
70,400,0.0008586952554940397
71,340,0.0008050268020256622
72,301,0.0006440214416205298
73,330,0.0005903529881521523
74,506,0.0005903529881521523
75,790,0.0004830160812153973
76,320,0.00042934762774701985
77,001,0.00037567917427864237
78,217,0.00037567917427864237
79,265,0.00037567917427864237
80,350,0.0003220107208102649
81,388,0.0003220107208102649
82,511,0.0003220107208102649
83,560,0.0003220107208102649
84,040,0.00026834226734188737
85,110,0.00026834226734188737
86,218,0.00026834226734188737
87,386,0.00026834226734188737
88,385,0.00021467381387350992
89,200,0.00016100536040513245
90,393,0.00016100536040513245
91,007,0.00010733690693675496
92,028,0.00010733690693675496
93,302,0.00010733690693675496
94,325,0.00010733690693675496
95,370,0.00010733690693675496
96,380,0.00010733690693675496
97,513,0.00010733690693675496
98,617,0.00010733690693675496
99,716,0.00010733690693675496
100,127,5.366845346837748e-05
101,371,5.366845346837748e-05
102,373,5.366845346837748e-05
103,383,5.366845346837748e-05
104,387,5.366845346837748e-05
105,608,5.366845346837748e-05
106,651,5.366845346837748e-05
107,724,5.366845346837748e-05
