,CountryFR,Count
0,,2627222
1,Pays-Bas,23053
2,France,12945
3,Allemagne (Rép.féd.),9611
4,Grande-Bretagne,7327
5,Luxembourg (Grand-Duché),7156
6,Etats-Unis d'Amérique,2634
7,Suisse,2018
8,Italie,1956
9,Indéterminé,1303
10,Espagne,1275
11,Pologne ( Rép. ),793
12,Suède,746
13,Irlande /Eire/,728
14,Portugal,662
15,Autriche,624
16,Danemark,582
17,Roumanie,366
18,Bulgarie,326
19,Finlande,325
20,Japon,274
21,Norvège,238
22,Liechtenstein,233
23,Canada,232
24,Chine (Hong-Kong SAR),226
25,République Tchèque,219
26,Hongrie ( Rép. ),212
27,République Slovaque,170
28,Chypre,163
29,Iles Vierges,156
30,Panama,147
31,Congo (Rép. dém.),146
32,Slovénie ( Rép. de ),131
33,Turquie,125
34,Malte,124
35,Singapour,112
36,Grèce,109
37,Inde,107
38,Emirats arabes unis,106
39,Gibraltar,103
40,Chine /Rép. pop./,101
41,Lituanie,94
42,Israël,93
43,Australie,92
44,Antilles néerlandaises,91
45,Estonie,70
46,Maroc,62
47,Monaco /Principauté/,57
48,Lettonie,54
49,Afrique du Sud /Rép. d'/,54
50,Croatie ( Rép. de ),53
51,Corée du Sud ( Rép. de ),51
52,Pologne(République),38
53,Maurice /Ile/,37
54,Libéria,36
55,Liban,35
56,Nouvelle-Zélande,31
57,Russie ( Fédération de ),30
58,Brésil,28
59,Andorre,28
60,Thaïlande,25
61,Caïmanes(R.U.),25
62,Bahamas,24
63,Islande,23
64,Allemagne (Rép. dém.),23
65,Tunisie,22
66,Argentine,21
67,Yougoslavie (Serbie-Montenegro),20
68,Chine-Taïwan ( Rép. de ),20
69,Albanie,20
70,Hong Kong(R.U.),17
71,Tchécoslovaquie,16
72,Serbie,16
73,Bermudes,16
74,Hong-Kong,15
75,Malaisie,14
76,Nigéria(Rép. Féder.),13
77,Mexique,13
78,Ukraine ( Rép. ),11
79,Rwanda /Rép./,11
80,Macédoine (Ex-Rép. yougoslave de),11
81,Hongrie(République),11
82,Pakistan,10
83,Chili,10
84,Arabie Saoudite,10
85,Antilles britanniques,10
86,Rép. Arabe d'Egypte,9
87,Jordanie,9
88,Iran,9
89,Cameroun,9
90,Uruguay,8
91,Union d.Rép.Soc.Soviét.,8
92,Sénégal,8
93,Surinam,8
94,Seychelles(Iles),8
95,Qatar,8
96,Philippines,8
97,Côte d'Ivoire,8
98,Burundi,8
99,Koweit/Principauté de/,7
100,Corée du Nord ( Rép. de ),7
101,Barbade,7
102,Sri Lanka,6
103,République socialiste du Vietnam,6
104,Indonésie,6
105,Congo(Rép. pop. du),6
106,Bénin(Rép. pop. du),6
107,Seychelles (Iles),5
108,Pérou,5
109,Costa Rica,5
110,Colombie,5
111,Bahrein,5
112,Togo,4
113,St. Kitts et Nevis,4
114,Moldavie ( Rép. ),4
115,Lesotho,4
116,Irak,4
117,Iles Turks et Caicos,4
118,Guatémala,4
119,Gabon,4
120,Biélorussie ( Rép. ),4
121,Belize,4
122,Vénézuéla,3
123,Saint-Marin,3
124,Rép.démocrat. de Madagascar,3
125,Paraguay,3
126,Niger,3
127,Ngwane (Royaume du Swaziland),3
128,Nepal,3
129,Mauritanie /Rép. Islamique de/,3
130,Géorgie ( Rép. ),3
131,Guinée,3
132,Ethiopie,3
133,Equateur,3
134,Dominicaine /Rép./,3
135,Antilles françaises,3
136,Anguilla(R.U.),3
137,Angola,3
138,Allemagne,3
139,Algérie,3
140,Zambie,2
141,Yougoslavie,2
142,Tchad,2
143,Syrie /Rép. Arabe Syrienne/,2
144,Saint-Vincent,2
145,Réunion,2
146,Porto-Rico(Ile de),2
147,Nouvelle-Calédonie,2
148,Nicaragua,2
149,Namibie,2
150,Monténégro,2
151,Le Groenland(D.K.),2
152,Kazakhstan ( Rép. ),2
153,Jamaïque,2
154,Iles Marshall (République des),2
155,Hawaï,2
156,El Salvador,2
157,Cuba,2
158,Cambodge (Royaume du),2
159,Cambodge,2
160,Botswana,2
161,Bosnie-Herzégovine (Rép. de),2
162,Bolivie,2
163,Bangladesh,2
164,Arménie ( Rép. ),2
165,Antilles américaines,2
166,pas encore définitivement établie,1
167,Zaïre (République du),1
168,Vanuatu,1
169,Tuvalu,1
170,Turkménistan ( Rép. ),1
171,Tanzanie(Rép.Unie de),1
172,Swaziland,1
173,Sultanat d'Oman,1
174,Somalie /Rép./,1
175,Sao Tomé et Principe (Rép. dém. de),1
176,Samoa occidentales,1
177,République Centrafricaine,1
178,Rhodésie,1
179,Rayé pour l'étranger,1
180,Polynésie,1
181,Pitcairn(terr.dép.du R.U.),1
182,Palestine,1
183,Pacifique/Iles du/,1
184,Ouzbékistan ( Rép. ),1
185,Ouganda,1
186,Niue-ile(N-Z.),1
187,Myanmar (Union de),1
188,Maldives,1
189,Macao,1
190,Libye,1
191,Kosovo,1
192,Kitts and Nevis(R.U.),1
193,Kirghizie ( Rep. ),1
194,Kenya,1
195,Iles Falkland,1
196,Honduras,1
197,Haïti,1
198,Guyane Française,1
199,Guyane,1
200,Guinée-Bissau,1
201,Guam,1
202,Ghana,1
203,Gambie,1
204,Dominique (République),1
205,Burkina Faso,1
206,Brunei,1
207,Belize(R.U.),1
208,Azerbaïdjan ( Rép. ),1
209,Antigua(R.U.),1
210,Afghanistan,1
