,Description,NaceCode,Age,Number_of_Activities
0,Enseignement secondaire professionnel ou technique organisé par les forces armées,80226,93.0,5
1,Mutuelles et caisses d'assurance soins,75302,76.325,935
2,Activités des hôpitaux gériatriques,86102,62.2,25
3,Extraction et agglomération de la houille,10100,60.36363636363637,32
4,Location de logements sociaux,70202,58.35666666666667,2189
5,"Administration communale, à l'exclusion des C.P.A.S.",75114,57.770833333333336,2244
6,Fabrication d'autres produits céramiques à usage technique,26240,57.0,15
7,Entreprises d'assurances multibranches à prédominance non-vie,66033,56.07142857142857,412
8,"Administration publique communale, sauf Centres Publics d'Action Sociale (C.P.A.S.)",84114,55.81030150753769,3438
9,la gestion et l'entretien des égouts et des canalisations d'évacuation,9000101,54.0,160
10,Location à court terme de voitures particulières sans chauffeur,7711001,54.0,7154
11,la location à court terme de voitures particulières sans chauffeur,7110001,54.0,2617
12,Commerce de gros d'articles de sport et de camping,4649601,54.0,1714
13,Enseignement supérieur auquel les codes 83.301 à 80.306 ne peuvent être attribués,80309,53.5,20
14,Organisations religieuses ou philosophiques,91310,53.47295805739515,3459
15,Etablissements pénitentiaires,84232,53.0,106
16,Prisons et institutions assimilées,75232,53.0,44
17,la détention à long terme des actions émanant de plusieurs autres entreprises classées dans différents secteurs économiques,7415102,52.0,4454
18,"le transport de béton, prêt à l'emploi, non fabriqué par l'unité même",6024203,52.0,309
19,"le commerce de gros de matériaux de construction: sable, gravier, ciment, briques, etc.",5153202,52.0,1312
20,la fabrication d'ouvrages en asphalte,2682004,52.0,57
21,"la fabrication de béton prêt à l'emploi, y compris la livraison",2663001,52.0,85
22,la fabrication d'éléments préfabriqués en béton pour le bâtiment et le génie civil,2661002,52.0,100
23,la fabrication de ciments-colles,2462003,52.0,85
24,le concassage et le broyage de pierres et de graviers.,1421202,52.0,46
25,Enseignement secondaire professionnel ou technique libre subventionné,80224,51.87619047619047,277
26,Fabrication de briques,26402,51.81818181818182,76
27,Enseignement fondamental communal,80103,51.0,2041
28,Tréfilage à froid,27340,50.107142857142854,40
29,Centres Publics d'Action Sociale (C.P.A.S.),84115,49.55890804597701,1755
30,Autres organismes de sécurité sociale,75303,49.13461538461539,222
31,C.P.A.S.,75115,49.0,859
32,Caisses de retraite,66020,48.57142857142857,92
33,Activités des organisations religieuses et philosophiques,94910,48.375626043405674,5159
34,Enseignement supérieur libre subventionné,80304,48.267857142857146,224
35,les travaux d'étanchéification des toits et des toituresterrasses,4522004,48.0,7271
36,"Services annexes à la culture, n.d.a.",01412,48.0,157
37,Centres P.M.S. et centres d'orientation ou reformation professionnelle,85324,47.91111111111111,1308
38,Entreprises d'assurances multibranches à prédominance vie,66013,47.375,349
39,Mutuelles et caisses d'assurance soins,84302,47.19491525423729,1414
40,Enseignement secondaire général libre subventionné,80214,47.023633677991135,1853
41,Instituts pour enfants en difficulté,85313,46.827586206896555,1986
42,"Captage, épuration et distribution d'eau",41000,46.77040816326531,555
43,Administration centrale,75111,46.642857142857146,423
44,Fabrication de gaz industriels,24110,46.513888888888886,118
45,"Commerce de gros de matériel électrique et électronique, y compris le matériel d'installation",51651,46.0,6129
46,Activités de syndicats de salariés,91200,45.62011173184357,803
47,Fabrication d'accumulateurs et de piles électriques,31400,45.57142857142857,36
48,Production de cuivre,27441,45.25,8
49,Autre distribution de crédit,65222,45.23770491803279,637
50,Industrie du tabac,16000,45.15151515151515,39
51,Fabrication d'autres produits chimiques inorganiques de base,24130,45.111111111111114,99
52,Défense,75220,45.0,188
53,"Transport par voie terrestre de passagers, urbain ou suburbain (autobus, tramway, métro, etc.) sur des lignes déterminées et conformément à un horaire établi",4931001,45.0,325
54,Activités d'organismes publics relatives aux matières économiques,75130,44.91860465116279,399
55,Ateliers protégés,85322,44.9070796460177,1160
56,"Fabrication de chaînes, à l'exception des chaînes pour la transmission de l'énergie",28742,44.2,30
57,"Fabrication de machines pour les industries du textile, de l'habillement et du cuir",29540,44.0,152
58,Production d'huiles et de graisses brutes d'origine animale,15412,43.833333333333336,21
59,Fabrication de margarine et de graisses comestibles similaires,15430,43.714285714285715,12
60,"Sécurité sociale obligatoire, à l'exclusion des mutuelles",75301,43.625,159
61,Fabrication de ressorts,28743,43.526315789473685,33
62,Opérations directes d'assurances non-vie,66031,43.476190476190474,339
63,la construction de tunnels routiers et ferroviaires et d'autres passages souterrains,4521402,43.333333333333336,10172
64,le rabattement de la nappe aquifère et le drainage des chantiers des construction,4511203,43.333333333333336,10217
65,Instituts pour adultes handicapés,85314,43.2398316970547,8930
66,Fabrication de colles et gélatines,24620,43.23076923076923,41
67,Administration provinciale,75113,43.2,168
68,Fabrication d'articles de brosserie,36620,43.1025641025641,76
69,Préparation et filature d'autres fibres,17170,43.018181818181816,157
70,Enseignement secondaire spécialisé libre subventionné,85326,43.0,464
71,Extraction des minéraux chimiques et d'engrais minéraux,08910,43.0,54
72,Fabrication de carton,21122,42.906976744186046,91
73,Activités hospitalières,85110,42.46261682242991,702
74,Services d'aide à la jeunesse avec hébergement,87901,42.171875,985
75,Fabrication de papiers peints,21240,42.111111111111114,45
76,Auberges de jeunesse et refuges,55210,42.0,125
77,"le commerce de gros de journaux, livres et périodiques",5147201,42.0,28
78,Extraction de pétrole brut et de gaz naturel,11100,41.857142857142854,14
79,Travail des grains,15610,41.82142857142857,187
80,Autres activités extractives n.d.a.,14500,41.75,44
81,Première transformation du cuivre,27442,41.4,20
82,Fabrication d'articles de robinetterie,29130,41.333333333333336,48
83,Fabrication d'engrais,24151,41.241379310344826,119
84,"Extraction de pierres calcaires, de gypse et de craie",14122,41.146341463414636,79
85,Fabrication de produits explosifs,24610,41.125,11
86,Activités d'organisations économiques et patronales,91110,41.04545454545455,1173
87,Enseignement secondaire général auquel les codes 80.211 à 80.216 ne peuvent être attribués,80219,41.0,20
88,"la fabrication pour des tiers de pièces métalliques par application de techniques diverses: perçage, tournage, fraisage, arasage, rabotage, rodage, brochage, dressage, sciage, meulage, affûtage, souda",2852001,41.0,2541
89,Fabrication de produits abrasifs,26810,41.0,31
90,"Fabrication de peintures, vernis, encres d'imprimerie et mastics",24300,40.97902097902098,196
91,Transports urbains ou suburbains de voyageurs,60211,40.729166666666664,273
92,Fabrication d'articles de ménage,28751,40.7,96
93,Fabrication de colorants et de pigments,24120,40.578947368421055,34
94,Moulinage et texturation de la soie et des textiles synthétiques ou artificiels,17150,40.53333333333333,32
95,Centres et villages de vacances,55231,40.51239669421488,308
96,Enseignement fondamental international,80105,40.4,8
97,Tissage d'autres textiles,17250,40.25,119
98,Organisations religieuses,91311,40.2,25
99,"Fabrication de boulons, de vis et d'écrous",28741,40.09090909090909,71
100,"la mise en oeuvre dans des bâtiments ou d'autres projets de construction de: matériaux d'isolation thermique, matériaux d'isolation acoustique et antivibratile",4532001,40.0,61120
101,Extraction de minéraux pour l'industrie chimique et d'engrais naturels,14300,40.0,16
102,Fabrication d'autres articles en caoutchouc,25130,39.956043956043956,133
103,Contrôle technique automobile et autres centres de diagnostic pour véhicules automobiles,74301,39.84090909090909,194
104,Fabrication de tapis et moquettes,17510,39.68421052631579,471
105,Fabrication de savons et de détergents,24511,39.4,98
106,Activités de soins résidentiels pour mineurs avec un handicap mental,87201,39.35,317
107,Industrie des fourrures,18300,39.31578947368421,50
108,Enseignement fondamental libre subventionné,80104,39.24817518248175,3161
109,Production de la bière,15960,39.15544041450777,420
110,"Commerce de détail d'autres biens d'occasion tels que meubles, matériaux de",4779302,39.0,5416
111,Production d'autres métaux non ferreux,27451,39.0,18
112,"Création, implantation et entretien de jardins et parcs",01411,39.0,539
113,Enseignement primaire ordinaire libre subventionné,85204,38.85015772870663,5815
114,Fabrication de briques,23321,38.847457627118644,201
115,Activités d'organisations professionnelles,91120,38.73728813559322,779
116,Fabrication de papier,21121,38.64957264957265,157
117,Fabrication d'aliments pour animaux de ferme,15710,38.58527131782946,407
118,Activités des entreprises de travail adapté,88995,38.54874651810585,1248
119,Enseignement primaire spécialisé libre subventionné,85206,38.46666666666667,437
120,Fabrication de produits amylacés,15620,38.45,34
121,Fabrication d'étoffes à mailles,17600,38.4468085106383,89
122,Agences en douane,63404,38.442622950819676,644
123,Autres activités d'action sociale avec hébergement n.d.a.,85316,38.383720930232556,582
124,Fabrication de fibres artificielles ou synthétiques,24700,38.28260869565217,60
125,Production de sel,14400,38.0,2
126,Fabrication d'éléments en plâtre pour la construction,26620,37.93333333333333,79
127,Activités des syndicats de salariés,94200,37.916030534351144,1277
128,Construction de matériel ferroviaire roulant,35200,37.86363636363637,92
129,Administration d'immeubles résidentiels,70321,37.782087165133944,4630
130,Production de préparations surgelées à base de pommes de terre,15312,37.76470588235294,33
131,"Fabrication de roulements à billes, de paliers à roulements et similaires",29141,37.63636363636363,65
132,"Production de plomb, de zinc et d'étain",27431,37.5625,28
133,Police fédérale,75244,37.5,122
134,Extraction de sable,14211,37.5,118
135,Transports aériens réguliers,62100,37.42718446601942,199
136,Fabrication d'articles de brosserie,32910,37.22222222222222,131
137,Affacturage,65223,37.2,81
138,Fabrication d'huiles et de graisses raffinées,15420,37.166666666666664,19
139,Fabrication de coutellerie,28610,37.15,54
140,Préparation et filature de fibres de type linier,17140,37.14876033057851,280
141,Autres transports routiers réguliers de voyageurs,60212,37.14054054054054,2121
142,Gestion des musées et du patrimoine culturel,92520,37.12709030100334,772
143,Industrie des eaux minérales et des boissons rafraîchissantes,15980,37.098591549295776,109
144,Instituts pour mineurs handicapés,85311,37.091575091575095,4098
145,Activités relatives à l'émission de coupons de réduction et de timbres-prime,74846,37.0,25
146,Fonderie d'autres métaux non ferreux,27540,36.935483870967744,49
147,Fabrication d'éléments en béton pour la construction,26610,36.911699779249446,714
148,Fabrication de médicaments,24421,36.75739644970414,329
149,Préparation et filature de fibres de type lainier - cycle peigné,17130,36.75,25
150,Fabrication de sucre,15830,36.73684210526316,60
151,Fabrication de carton ondulé et d'emballages en papier ou en carton,21210,36.69714285714286,232
152,Fabrication de produits minéraux non métalliques n.d.a.,26820,36.6551724137931,122
153,Sidérurgie,27100,36.64049586776859,307
154,"Ficellerie, corderie, fabrication de filets",17520,36.64,83
155,Fabrication d'appareils de téléphonie,32202,36.54054054054054,105
156,Elaboration et transformation de matières nucléaires,23300,36.5,17
157,Tréfilage à froid,24340,36.354838709677416,155
158,Fabrication de gaz industriels,20110,36.34782608695652,183
159,Enseignement primaire ordinaire communal subventionné,85203,36.333333333333336,2682
160,Construction et assemblage de véhicules automobiles,34100,36.26373626373626,161
161,Fabrication de matériels électriques pour moteurs et véhicules,31610,36.24050632911393,126
162,Cantines,55510,36.22846889952153,1114
163,Fabrication d'ouvrages en fibre-ciment,26650,36.11764705882353,70
164,Manutention portuaire,63111,36.08733624454148,1081
165,Fabrication de matelas,36150,36.03174603174603,79
166,Maisons de repos pour personnes âgées,85315,36.02852614896989,1889
167,Transformation du thé et du café,15860,36.02068965517241,206
168,Fabrication d'autres machines-outils n.d.a.,29430,36.00763358778626,279
169,Orphelinats,85312,36.0,424
170,"Hôtels et motels, avec restaurant",55110,36.0,444
171,Production d'alcool éthylique de fermentation,15920,36.0,21
172,Gestion et exploitation de centres sportifs,92611,35.997206703910614,2979
173,"Fabrication d'appareils électriques pour la mesure, la vérification, le contrôle et la navigation",33201,35.945945945945944,365
174,"Fabrication de chaussures, à l'exclusion des chaussures en caoutchouc",19301,35.9344262295082,327
175,Organisations associatives n.d.a.,91330,35.81565513329552,3666
176,Extraction de gravier,14212,35.80952380952381,52
177,Activités des Centres Psycho-Médico-Sociaux (P.M.S.),85601,35.75892857142857,724
178,Activités de soins résidentiels pour mineurs avec un handicap moteur,87303,35.733333333333334,92
179,Fabrication de tuiles,26401,35.6,24
180,Fabrication d'autres produits en terre cuite pour la construction,26403,35.564516129032256,78
181,Fabrication de caoutchouc synthétique,24170,35.54545454545455,22
182,Fabrication d'armes légères et d'armes de sport,29602,35.5,63
183,Sociétés de portefeuille,65234,35.421052631578945,415
184,Fabrication de monnaies,36210,35.40909090909091,26
185,Fabrication d'autres produits chimiques organiques de base,24140,35.35294117647059,176
186,Commerce de gros de machines-outils,51810,35.25925925925926,1933
187,Activités de soutien aux administrations,75140,35.24,224
188,Hypermarchés (surface de vente de 2.500 m2 et plus),52115,35.21739130434783,70
189,Enseignement secondaire général international,80215,35.1875,30
190,Commerce de gros de cuirs et peaux,51240,35.184615384615384,340
191,Administration publique provinciale,84113,35.17142857142857,306
192,Tissage de type soie,17240,35.17142857142857,718
193,Production d'aluminium,27421,35.166666666666664,26
194,Commerce de gros de combustibles et de produits dérivés,51510,35.131510416666664,1806
195,Fabrication d'articles en fils métalliques,28730,35.095238095238095,86
196,"Fabrication de condiments, assaisonnements et sauces",15870,35.046875,106
197,"Sécurité sociale obligatoire, à l'exclusion des mutuelles",84301,35.044444444444444,241
198,Travailleurs bénéficiant d'autres prestations,98903,35.0,2
199,Enseignement fondamental provincial,80102,35.0,59
